id_fixture,date_match,id_team_home,id_team_away,gol_home_stat,gol_away_stat,gol_home_match,gol_away_match
1575172,2026-09-19T13:30:00+00:00,162,170,3.0,2.0,3.0,2.0
1575504,2026-09-19T14:30:00+00:00,762,214,1.0,1.0,1.0,1.0
1390824,2025-08-15T17:00:00+00:00,547,728,1.0,3.0,,
1390828,2025-08-15T19:30:00+00:00,533,718,2.0,0.0,,
1390825,2025-08-16T17:30:00+00:00,798,529,0.0,3.0,,
1390827,2025-08-16T19:30:00+00:00,532,548,1.0,1.0,,
1394443,2025-08-17T18:30:00+00:00,564,1001,1.0,1.0,,
1398975,2025-08-16T12:30:00+00:00,1246,10320,2.0,1.0,,
1398970,2025-08-16T12:30:00+00:00,1248,17129,5.0,0.0,,
1398967,2025-08-16T12:30:00+00:00,1271,1261,1.0,2.0,,
1388308,2025-08-22T18:30:00+00:00,157,173,6.0,0.0,,
1380868,2025-08-09T14:30:00+00:00,413,196,5.0,0.0,,
1380870,2025-08-09T18:00:00+00:00,210,416,1.0,1.0,,
1380872,2025-08-10T10:15:00+00:00,193,415,1.0,0.0,,
65,2018-08-10T19:00:00+00:00,33,46,2.0,1.0,,
1387718,2025-08-29T18:45:00+00:00,116,106,3.0,1.0,,
1387719,2025-08-30T15:00:00+00:00,97,79,1.0,7.0,,
1387722,2025-08-30T17:00:00+00:00,83,108,1.0,0.0,,
1387724,2025-08-30T19:05:00+00:00,96,85,3.0,6.0,,
573168,2020-09-13T10:15:00+00:00,208,204,3.0,5.0,,
1213441,2024-08-09T18:00:00+00:00,202,203,4.0,1.0,,
573166,2020-09-12T18:00:00+00:00,193,209,0.0,2.0,,
608486,2020-09-20T10:30:00+00:00,523,492,0.0,2.0,,
1451026,2025-09-17T16:45:00+00:00,553,3403,0.0,0.0,,
1451027,2025-09-17T16:45:00+00:00,560,327,2.0,2.0,,
707179,2021-08-13T18:00:00+00:00,410,210,0.0,1.0,,
1451165,2025-09-24T16:45:00+00:00,619,604,0.0,0.0,,
1451167,2025-09-24T19:00:00+00:00,598,247,1.0,1.0,,
1451178,2025-09-25T19:00:00+00:00,651,567,1.0,1.0,,
1451357,2025-10-02T16:45:00+00:00,336,4626,1.0,0.0,,
1451356,2025-10-02T16:45:00+00:00,347,781,4.0,1.0,,
1451354,2025-10-02T16:45:00+00:00,588,667,5.0,0.0,,
1452158,2025-10-02T16:45:00+00:00,1014,276,3.0,0.0,,
1451359,2025-10-02T16:45:00+00:00,1165,14281,1.0,1.0,,
1451360,2025-10-02T16:45:00+00:00,3684,561,1.0,0.0,,
1451363,2025-10-02T19:00:00+00:00,252,550,2.0,3.0,,
1451369,2025-10-02T19:00:00+00:00,628,652,4.0,1.0,,
1451366,2025-10-02T19:00:00+00:00,3491,632,2.0,0.0,,
1451362,2025-10-02T19:00:00+00:00,3854,367,0.0,0.0,,
1451368,2025-10-02T19:00:00+00:00,4360,575,3.0,1.0,,
