id_fixture,season,current_league,league_match,date_fixture,round_fixture,referee,team_id,team_name,home_away,opponent_id,opponent_name,score_home_ht,score_away_ht,score_home_ft,score_away_ft,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,form_last_5,form_att_last_5,form_def_last_5,form_goal_for_average_last_5,form_goal_against_average_last_5,for_total_goal_home,for_total_goal_away,for_total_goal,for_total_average_goals_home,for_total_average_goals_away,for_total_average_goals,for_0-15_goal_total,for_0-15_goal_percentage,for_16-30_goal_total,for_16-30_goal_percentage,for_31-45_goal_total,for_31-45_goal_percentage,for_46-60_goal_total,for_46-60_goal_percentage,for_61-75_goal_total,for_61-75_goal_percentage,for_76-90_goal_total,for_76-90_goal_percentage,for_91-105_goal_total,for_91-105_goal_percentage,for_106-120_goal_total,for_106-120_goal_percentage,for_0.5_over,for_0.5_under,for_1.5_over,for_1.5_under,for_2.5_over,for_2.5_under,for_3.5_over,for_3.5_under,for_4.5_over,for_4.5_under,against_total_goal_home,against_total_goal_away,against_total_goal,against_total_average_goals_home,against_total_average_goals_away,against_total_average_goals,against_0-15_goal_total,against_0-15_goal_percentage,against_16-30_goal_total,against_16-30_goal_percentage,against_31-45_goal_total,against_31-45_goal_percentage,against_46-60_goal_total,against_46-60_goal_percentage,against_61-75_goal_total,against_61-75_goal_percentage,against_76-90_goal_total,against_76-90_goal_percentage,against_91-105_goal_total,against_91-105_goal_percentage,against_106-120_goal_total,against_106-120_goal_percentage,against_0.5_over,against_0.5_under,against_1.5_over,against_1.5_under,against_2.5_over,against_2.5_under,against_3.5_over,against_3.5_under,against_4.5_over,against_4.5_under,wins_home,wins_away,draws_home,draws_away,loses_home,loses_away,clean_sheet_home,clean_sheet_away,clean_sheet_total,comparison_form,comparison_att,comparison_def,comparison_poisson_distribution,comparison_h2h,comparison_goals,comparison_tot,predict_winner_predict_id,predict_winner_predict_name,predict_win_or_draw,predict_under_over,predict_goal_home,predict_goal_away,predict_advice,predict_percent_home,predict_percent_draw,predict_percent_away,Assists,Counter Attacks,Cross Attacks,Free Kicks,Goals,Goal Attempts,Substitutions,Throwins,Medical Treatment
199337,2015,88,88,2016-05-12T18:45:00+00:00,Europa League Play-offs - Semi-finals,"Kevin Blom,",193,PEC Zwolle,1,207,Utrecht,0,0,0,0,0,6,11.0,5,3.0,8.0,11,7,6,56.0,1,0,3,448.0,348.0,78.0,0.47,0.53,0.35,1.8,2.2,35,21,56,2.1,1.2,1.6,8.0,14.04%,10.0,17.54%,10.0,17.54%,10.0,17.54%,10.0,17.54%,4.0,7.02%,5.0,8.77%,,,27,7,17,17,7,27,3,31,2,32,27,27,54,1.6,1.6,1.6,6.0,11.32%,7.0,13.21%,10.0,18.87%,8.0,15.09%,9.0,16.98%,11.0,20.75%,2.0,3.77%,,,28,6,16,18,6,28,2,32,2,32,10,4,2,4,5,9,2,4,6,0.5,0.5,0.45,0.49,0.6,0.64,0.53,193.0,PEC Zwolle,True,1.5,-2.5,-2.5,Combo Double chance : PEC Zwolle or draw and +1.5 goals,0.45,0.45,0.1,,,,,,,,,
199338,2015,88,88,2016-05-15T12:30:00+00:00,Europa League Play-offs - Semi-finals,"Dennis Higler, Netherlands",193,PEC Zwolle,0,207,Utrecht,3,0,5,2,4,3,9.0,2,6.0,3.0,14,4,1,48.0,3,1,1,381.0,303.0,80.0,0.33,0.4,0.33,1.2,2.0,35,21,56,1.9,1.2,1.6,8.0,14.04%,10.0,17.54%,10.0,17.54%,10.0,17.54%,10.0,17.54%,4.0,7.02%,5.0,8.77%,,,27,8,17,18,7,28,3,32,2,33,27,27,54,1.5,1.6,1.5,6.0,11.32%,7.0,13.21%,10.0,18.87%,8.0,15.09%,9.0,16.98%,11.0,20.75%,2.0,3.77%,,,28,7,16,19,6,29,2,33,2,33,10,4,3,4,5,9,3,4,7,0.5,0.5,0.44,0.43,0.5,0.63,0.5,193.0,PEC Zwolle,True,,-2.5,-2.5,Double chance : draw or PEC Zwolle,0.1,0.45,0.45,,,,,,,,,
199346,2015,88,88,2015-08-12T17:45:00+00:00,Regular Season - 1,"Dennis Higler, Netherlands",193,PEC Zwolle,1,420,Cambuur,2,0,2,2,5,4,11.0,2,8.0,3.0,0,3,2,34.0,2,0,5,247.0,168.0,68.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.5,0.63,0.565,193.0,PEC Zwolle,True,,,,Double chance : PEC Zwolle or draw,0.45,0.45,0.1,,,,,,,,,
199349,2015,88,88,2015-08-15T16:30:00+00:00,Regular Season - 2,"Allard Lindhout, Netherlands",193,PEC Zwolle,0,199,De Graafschap,0,0,0,3,5,9,16.0,2,5.0,11.0,0,2,2,42.0,1,0,4,300.0,209.0,70.0,0.33,0.14,0.86,2.0,2.0,2,0,2,2.0,0.0,2.0,,,,,2.0,100.00%,,,,,,,,,,,1,0,1,0,0,1,0,1,0,1,2,0,2,2.0,0.0,2.0,,,,,,,,,1.0,50.00%,1.0,50.00%,,,,,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1.0,0.67,0.6,0.0,0.0,0.0,0.635,193.0,PEC Zwolle,True,1.5,-1.5,-2.5,Combo Double chance : draw or PEC Zwolle and +1.5 goals,0.0,0.5,0.5,,,,,,,,,
199361,2015,88,88,2015-08-23T10:30:00+00:00,Regular Season - 3,"Kevin Blom,",193,PEC Zwolle,1,415,Twente,1,0,2,1,7,12,25.0,6,15.0,10.0,0,7,1,44.0,0,0,4,346.0,268.0,77.0,0.67,0.33,0.87,2.5,1.0,2,3,5,2.0,3.0,2.5,,,,,2.0,40.00%,1.0,20.00%,2.0,40.00%,,,,,,,2,0,2,0,1,1,0,2,0,2,2,0,2,2.0,0.0,1.0,,,,,,,,,1.0,50.00%,1.0,50.00%,,,,,1,1,1,1,0,2,0,2,0,2,0,1,1,0,0,0,0,1,1,0.8,0.71,0.71,0.47,0.25,0.38,0.5529999999999999,193.0,PEC Zwolle,True,,-2.5,-2.5,Double chance : PEC Zwolle or draw,0.45,0.45,0.1,,,,,,,,,
199368,2015,88,88,2015-08-29T17:45:00+00:00,Regular Season - 4,"Pol van Boekel, Netherlands",193,PEC Zwolle,0,210,Heerenveen,1,0,1,1,2,9,16.0,5,10.0,6.0,0,3,1,38.0,1,0,2,342.0,247.0,72.0,0.78,1.0,0.57,2.3,1.0,4,3,7,2.0,3.0,2.3,,,1.0,14.29%,2.0,28.57%,1.0,14.29%,3.0,42.86%,,,,,,,3,0,3,0,1,2,0,3,0,3,3,0,3,1.5,0.0,1.0,,,,,,,1.0,33.33%,1.0,33.33%,1.0,33.33%,,,,,2,1,1,2,0,3,0,3,0,3,1,1,1,0,0,0,0,1,1,0.58,0.58,0.5,1.0,0.15,0.25,0.412,210.0,Heerenveen,True,,-2.5,-3.5,Double chance : Heerenveen or draw,0.45,0.45,0.1,,,,,,,,,
199379,2015,88,88,2015-09-12T18:45:00+00:00,Regular Season - 5,"Danny Desmond Makkelie, Netherlands",193,PEC Zwolle,1,196,Excelsior,2,0,3,0,6,5,16.0,5,10.0,6.0,0,5,3,50.0,1,0,2,431.0,343.0,80.0,0.67,0.47,0.76,2.0,1.0,4,4,8,2.0,2.0,2.0,,,1.0,12.50%,2.0,25.00%,2.0,25.00%,3.0,37.50%,,,,,,,4,0,3,1,1,3,0,4,0,4,3,1,4,1.5,0.5,1.0,1.0,25.00%,,,,,1.0,25.00%,1.0,25.00%,1.0,25.00%,,,,,3,1,1,3,0,4,0,4,0,4,1,1,1,1,0,0,0,1,1,0.67,0.62,0.56,1.0,0.8,0.86,0.7020000000000001,193.0,PEC Zwolle,True,,-2.5,-2.5,Double chance : PEC Zwolle or draw,0.45,0.45,0.1,,,,,,,,,
199386,2015,88,88,2015-09-19T17:45:00+00:00,Regular Season - 6,"Ed Peter Janssen, Netherlands",193,PEC Zwolle,1,198,ADO Den Haag,0,1,2,1,6,5,16.0,5,9.0,7.0,0,8,2,46.0,3,0,2,348.0,258.0,74.0,0.73,1.0,0.43,2.2,0.8,7,4,11,2.3,2.0,2.2,1.0,9.09%,2.0,18.18%,2.0,18.18%,3.0,27.27%,3.0,27.27%,,,,,,,5,0,4,1,2,3,0,5,0,5,3,1,4,1.0,0.5,0.8,1.0,25.00%,,,,,1.0,25.00%,1.0,25.00%,1.0,25.00%,,,,,3,2,1,4,0,5,0,5,0,5,2,1,1,1,0,0,1,1,2,0.69,0.61,0.69,0.68,0.71,0.67,0.675,193.0,PEC Zwolle,True,1.5,-3.5,-2.5,Combo Double chance : PEC Zwolle or draw and +1.5 goals,0.5,0.5,0.0,,,,,,,,,
199399,2015,88,88,2015-09-27T12:30:00+00:00,Regular Season - 7,"Bjorn Kuipers, Netherlands",193,PEC Zwolle,0,209,Feyenoord,0,0,2,0,0,4,4.0,0,3.0,1.0,0,3,3,41.0,4,0,4,338.0,248.0,73.0,0.87,0.58,0.84,2.2,0.6,9,4,13,2.3,2.0,2.2,1.0,7.69%,2.0,15.38%,2.0,15.38%,3.0,23.08%,4.0,30.77%,1.0,7.69%,,,,,6,0,5,1,2,4,0,6,0,6,4,1,5,1.0,0.5,0.8,1.0,20.00%,,,1.0,20.00%,1.0,20.00%,1.0,20.00%,1.0,20.00%,,,,,4,2,1,5,0,6,0,6,0,6,3,1,1,1,0,0,1,1,2,0.57,0.61,0.57,0.66,0.6,0.5,0.585,193.0,PEC Zwolle,True,,-2.5,-2.5,Double chance : draw or PEC Zwolle,0.1,0.45,0.45,,,,,,,,,
199405,2015,88,88,2015-10-03T17:45:00+00:00,Regular Season - 8,"Richard Liesveld, Netherlands",193,PEC Zwolle,0,195,Willem II,0,1,0,1,5,8,13.0,0,7.0,6.0,0,9,0,42.0,3,0,5,296.0,185.0,63.0,0.67,0.44,0.72,1.6,1.0,9,4,13,2.3,1.3,1.9,1.0,7.69%,2.0,15.38%,2.0,15.38%,3.0,23.08%,4.0,30.77%,1.0,7.69%,,,,,6,1,5,2,2,5,0,7,0,7,4,3,7,1.0,1.0,1.0,1.0,14.29%,,,1.0,14.29%,2.0,28.57%,1.0,14.29%,2.0,28.57%,,,,,5,2,2,5,0,7,0,7,0,7,3,1,1,1,0,1,1,1,2,0.67,0.62,0.5,0.61,1.0,1.0,0.6,193.0,PEC Zwolle,True,,-1.5,-2.5,Double chance : draw or PEC Zwolle,0.1,0.45,0.45,,,,,,,,,
199419,2015,88,88,2015-10-18T14:45:00+00:00,Regular Season - 9,"Pol van Boekel, Netherlands",193,PEC Zwolle,1,200,Vitesse,1,3,1,5,4,9,17.0,4,12.0,5.0,0,8,1,39.0,3,1,8,374.0,294.0,79.0,0.67,0.5,0.71,1.4,0.8,9,5,14,2.3,1.3,1.8,1.0,7.14%,2.0,14.29%,3.0,21.43%,3.0,21.43%,4.0,28.57%,1.0,7.14%,,,,,7,1,5,3,2,6,0,8,0,8,4,3,7,1.0,0.8,0.9,1.0,14.29%,,,1.0,14.29%,2.0,28.57%,1.0,14.29%,2.0,28.57%,,,,,5,3,2,6,0,8,0,8,0,8,3,2,1,1,0,1,1,2,3,0.5,0.35,0.43,0.8,0.29,0.43,0.467,200.0,Vitesse,True,,-2.5,-2.5,Double chance : draw or Vitesse,0.1,0.45,0.45,,,,,,,,,
199420,2015,88,88,2015-10-23T18:00:00+00:00,Regular Season - 10,"Eric Braamhaar, Netherlands",193,PEC Zwolle,1,207,Utrecht,1,1,1,2,4,6,10.0,0,7.0,3.0,0,2,0,55.0,3,0,3,507.0,422.0,83.0,0.6,0.39,0.56,1.4,1.6,10,5,15,2.0,1.3,1.7,2.0,13.33%,2.0,13.33%,3.0,20.00%,3.0,20.00%,4.0,26.67%,1.0,6.67%,,,,,8,1,5,4,2,7,0,9,0,9,9,3,12,1.8,0.8,1.3,2.0,16.67%,1.0,8.33%,2.0,16.67%,3.0,25.00%,1.0,8.33%,3.0,25.00%,,,,,6,3,3,6,1,8,1,8,1,8,3,2,1,1,1,1,1,2,3,0.64,0.5,0.53,0.62,0.71,0.67,0.612,193.0,PEC Zwolle,True,,-2.5,-2.5,Double chance : PEC Zwolle or draw,0.45,0.45,0.1,,,,,,,,,
199430,2015,88,88,2015-10-31T17:30:00+00:00,Regular Season - 11,"Jeroen Manschot, Netherlands",193,PEC Zwolle,0,202,Groningen,2,0,2,0,3,12,20.0,5,10.0,10.0,0,6,1,59.0,1,0,1,576.0,477.0,83.0,0.4,0.33,0.33,1.0,2.0,11,5,16,1.8,1.3,1.6,3.0,18.75%,2.0,12.50%,3.0,18.75%,3.0,18.75%,4.0,25.00%,1.0,6.25%,,,,,9,1,5,5,2,8,0,10,0,10,11,3,14,1.8,0.8,1.4,2.0,14.29%,2.0,14.29%,2.0,14.29%,3.0,21.43%,1.0,7.14%,3.0,21.43%,1.0,7.14%,,,7,3,4,6,1,9,1,9,1,9,3,2,1,1,2,1,1,2,3,0.46,0.5,0.47,0.39,0.5,0.6,0.487,202.0,Groningen,True,,-1.5,-1.5,Double chance : Groningen or draw,0.35,0.35,0.3,,,,,,,,,
199442,2015,88,88,2015-11-07T19:45:00+00:00,Regular Season - 12,"Dennis Higler, Netherlands",193,PEC Zwolle,1,206,Heracles,0,1,1,1,7,13,24.0,4,9.0,15.0,0,3,2,61.0,2,0,3,445.0,367.0,82.0,0.2,0.15,0.45,0.6,2.2,11,5,16,1.8,1.0,1.5,3.0,18.75%,2.0,12.50%,3.0,18.75%,3.0,18.75%,4.0,25.00%,1.0,6.25%,,,,,9,2,5,6,2,9,0,11,0,11,11,5,16,1.8,1.0,1.5,3.0,18.75%,2.0,12.50%,3.0,18.75%,3.0,18.75%,1.0,6.25%,3.0,18.75%,1.0,6.25%,,,8,3,5,6,1,10,1,10,1,10,3,2,1,1,2,2,1,2,3,0.25,0.33,0.35,0.36,0.62,0.56,0.412,206.0,Heracles,True,,-2.5,-2.5,Double chance : draw or Heracles,0.1,0.45,0.45,,,,,,,,,
199448,2015,88,88,2015-11-21T17:30:00+00:00,Regular Season - 13,"Danny Desmond Makkelie, Netherlands",193,PEC Zwolle,0,414,Roda,0,2,0,5,8,3,11.0,0,8.0,3.0,0,2,2,37.0,0,0,5,327.0,241.0,74.0,0.27,0.29,0.29,0.8,2.0,12,5,17,1.7,1.0,1.4,3.0,17.65%,2.0,11.76%,3.0,17.65%,3.0,17.65%,4.0,23.53%,1.0,5.88%,1.0,5.88%,,,10,2,5,7,2,10,0,12,0,12,12,5,17,1.7,1.0,1.4,3.0,17.65%,3.0,17.65%,3.0,17.65%,3.0,17.65%,1.0,5.88%,3.0,17.65%,1.0,5.88%,,,9,3,5,7,1,11,1,11,1,11,3,2,2,1,2,2,1,2,3,0.57,0.5,0.52,0.48,0.8,0.64,0.585,193.0,PEC Zwolle,True,,-1.5,-1.5,Double chance : draw or PEC Zwolle,0.1,0.45,0.45,,,,,,,,,
199461,2015,88,88,2015-11-29T13:30:00+00:00,Regular Season - 14,"Kevin Blom,",193,PEC Zwolle,1,194,Ajax,0,1,0,2,3,6,13.0,4,6.0,7.0,0,6,1,43.0,2,0,5,345.0,233.0,68.0,0.27,0.42,0.47,1.6,2.0,12,10,22,1.7,1.7,1.7,5.0,22.73%,2.0,9.09%,3.0,13.64%,5.0,22.73%,4.0,18.18%,1.0,4.55%,2.0,9.09%,,,11,2,6,7,3,10,1,12,1,12,12,5,17,1.7,0.8,1.3,3.0,17.65%,3.0,17.65%,3.0,17.65%,3.0,17.65%,1.0,5.88%,3.0,17.65%,1.0,5.88%,,,9,4,5,8,1,12,1,12,1,12,3,3,2,1,2,2,1,3,4,0.24,0.32,0.23,0.18,0.25,0.3,0.253,194.0,Ajax,False,,-2.5,-4.5,Winner : Ajax,0.0,0.5,0.5,,,,,,,,,
199472,2015,88,88,2015-12-06T13:30:00+00:00,Regular Season - 15,"Serdar Gozubuyuk, Netherlands",193,PEC Zwolle,0,413,NEC Nijmegen,0,2,2,2,4,7,14.0,3,10.0,4.0,0,5,0,36.0,2,0,4,290.0,197.0,68.0,0.27,0.5,0.5,1.4,1.4,12,10,22,1.5,1.7,1.6,5.0,22.73%,2.0,9.09%,3.0,13.64%,5.0,22.73%,4.0,18.18%,1.0,4.55%,2.0,9.09%,,,11,3,6,8,3,11,1,13,1,13,14,5,19,1.8,0.8,1.4,3.0,15.79%,3.0,15.79%,4.0,21.05%,3.0,15.79%,1.0,5.26%,4.0,21.05%,1.0,5.26%,,,10,4,6,8,1,13,1,13,1,13,3,3,2,1,3,2,1,3,4,0.29,0.47,0.36,0.48,0.64,0.55,0.465,413.0,NEC Nijmegen,True,,-2.5,-2.5,Double chance : NEC Nijmegen or draw,0.45,0.45,0.1,,,,,,,,,
199480,2015,88,88,2015-12-13T13:30:00+00:00,Regular Season - 16,"Jochem Kamphuis, Netherlands",193,PEC Zwolle,1,201,AZ Alkmaar,2,0,2,1,4,5,14.0,5,9.0,5.0,0,12,4,50.0,2,0,2,424.0,352.0,83.0,0.33,0.67,0.42,1.6,1.4,12,12,24,1.5,1.7,1.6,5.0,20.83%,3.0,12.50%,4.0,16.67%,5.0,20.83%,4.0,16.67%,1.0,4.17%,2.0,8.33%,,,12,3,7,8,3,12,1,14,1,14,14,7,21,1.8,1.0,1.4,3.0,14.29%,3.0,14.29%,4.0,19.05%,4.0,19.05%,2.0,9.52%,4.0,19.05%,1.0,4.76%,,,11,4,7,8,1,14,1,14,1,14,3,3,2,2,3,2,1,3,4,0.45,0.53,0.56,0.47,0.07,0.17,0.375,201.0,AZ Alkmaar,True,,-2.5,-2.5,Double chance : draw or AZ Alkmaar,0.1,0.45,0.45,,,,,,,,,
199485,2015,88,88,2015-12-19T18:45:00+00:00,Regular Season - 17,"Dennis Higler, Netherlands",193,PEC Zwolle,0,197,PSV Eindhoven,2,2,3,2,9,6,20.0,5,9.0,11.0,0,2,2,37.0,4,0,4,305.0,207.0,68.0,0.53,0.59,0.65,2.0,1.2,14,12,26,1.6,1.7,1.6,5.0,19.23%,3.0,11.54%,6.0,23.08%,5.0,19.23%,4.0,15.38%,1.0,3.85%,2.0,7.69%,,,13,3,8,8,3,13,1,15,1,15,15,7,22,1.7,1.0,1.4,3.0,13.64%,3.0,13.64%,4.0,18.18%,4.0,18.18%,2.0,9.09%,4.0,18.18%,2.0,9.09%,,,12,4,7,9,1,15,1,15,1,15,4,3,2,2,3,2,1,3,4,0.42,0.5,0.4,0.43,0.5,0.53,0.4629999999999999,197.0,PSV Eindhoven,True,,-2.5,-2.5,Double chance : PSV Eindhoven or draw,0.45,0.45,0.1,,,,,,,,,
199494,2015,88,88,2016-01-16T18:45:00+00:00,Regular Season - 18,"Martin Van den Kerkhof, Netherlands",193,PEC Zwolle,1,210,Heerenveen,2,0,5,2,8,8,20.0,4,10.0,10.0,0,7,2,55.0,2,0,3,447.0,347.0,78.0,0.47,0.65,0.53,2.2,1.6,14,14,28,1.6,1.8,1.6,5.0,17.86%,3.0,10.71%,8.0,28.57%,5.0,17.86%,4.0,14.29%,1.0,3.57%,2.0,7.14%,,,14,3,9,8,3,14,1,16,1,16,15,10,25,1.7,1.3,1.5,5.0,20.00%,3.0,12.00%,4.0,16.00%,4.0,16.00%,3.0,12.00%,4.0,16.00%,2.0,8.00%,,,13,4,8,9,2,15,1,16,1,16,4,3,2,2,3,3,1,3,4,0.54,0.58,0.62,0.55,0.15,0.25,0.4479999999999999,210.0,Heerenveen,True,1.5,-3.5,-2.5,Combo Double chance : draw or Heerenveen and +1.5 goals,0.1,0.45,0.45,,,,,,,,,
199507,2015,88,88,2016-01-24T13:30:00+00:00,Regular Season - 19,"Kevin Blom,",193,PEC Zwolle,0,207,Utrecht,0,0,1,0,2,4,13.0,7,6.0,7.0,0,6,2,48.0,0,0,7,393.0,306.0,78.0,0.47,0.73,0.33,2.2,2.0,19,14,33,1.9,1.8,1.8,6.0,18.18%,4.0,12.12%,8.0,24.24%,6.0,18.18%,4.0,12.12%,3.0,9.09%,2.0,6.06%,,,15,3,10,8,4,14,2,16,2,16,17,10,27,1.7,1.3,1.5,5.0,18.52%,3.0,11.11%,4.0,14.81%,5.0,18.52%,3.0,11.11%,5.0,18.52%,2.0,7.41%,,,14,4,9,9,2,16,1,17,1,17,5,3,2,2,3,3,1,3,4,0.35,0.48,0.33,0.5,0.71,0.67,0.507,207.0,Utrecht,True,,-3.5,-2.5,Double chance : Utrecht or draw,0.35,0.35,0.3,,,,,,,,,
199516,2015,88,88,2016-01-27T19:45:00+00:00,Regular Season - 20,"Ed Peter Janssen, Netherlands",193,PEC Zwolle,0,200,Vitesse,0,0,1,1,4,6,12.0,2,7.0,5.0,0,5,2,31.0,1,0,4,242.0,159.0,66.0,0.47,0.92,0.25,2.2,1.8,19,14,33,1.9,1.6,1.7,6.0,18.18%,4.0,12.12%,8.0,24.24%,6.0,18.18%,4.0,12.12%,3.0,9.09%,2.0,6.06%,,,15,4,10,9,4,15,2,17,2,17,17,11,28,1.7,1.2,1.5,5.0,17.86%,3.0,10.71%,4.0,14.29%,5.0,17.86%,3.0,10.71%,6.0,21.43%,2.0,7.14%,,,15,4,9,10,2,17,1,18,1,18,5,3,2,2,3,4,1,3,4,0.5,0.58,0.31,0.38,0.29,0.35,0.402,200.0,Vitesse,True,,-2.5,-2.5,Double chance : Vitesse or draw,0.45,0.45,0.1,,,,,,,,,
199521,2015,88,88,2016-01-30T18:45:00+00:00,Regular Season - 21,"Dennis Higler, Netherlands",193,PEC Zwolle,1,202,Groningen,0,1,1,3,7,9,19.0,3,9.0,10.0,0,9,1,54.0,2,0,2,483.0,404.0,84.0,0.47,1.0,0.0,2.0,1.6,19,15,34,1.9,1.5,1.7,6.0,17.14%,4.0,11.43%,8.0,22.86%,6.0,17.14%,6.0,17.14%,3.0,8.57%,2.0,5.71%,,,16,4,10,10,4,16,2,18,2,18,17,12,29,1.7,1.2,1.5,5.0,17.86%,3.0,10.71%,4.0,14.29%,5.0,17.86%,3.0,10.71%,6.0,21.43%,2.0,7.14%,,,16,4,9,11,2,18,1,19,1,19,5,3,2,3,3,4,1,3,4,0.7,0.71,0.5,0.69,0.5,0.5,0.6,193.0,PEC Zwolle,False,,-3.5,-1.5,Winner : PEC Zwolle,0.45,0.45,0.1,,,,,,,,,
199532,2015,88,88,2016-02-06T19:45:00+00:00,Regular Season - 22,"Pol van Boekel, Netherlands",193,PEC Zwolle,0,206,Heracles,0,0,2,0,1,7,14.0,6,6.0,8.0,0,6,1,53.0,0,0,4,400.0,319.0,80.0,0.27,0.69,0.23,1.8,2.0,20,15,35,1.8,1.5,1.7,6.0,16.67%,4.0,11.11%,8.0,22.22%,7.0,19.44%,6.0,16.67%,3.0,8.33%,2.0,5.56%,,,17,4,10,11,4,17,2,19,2,19,20,12,32,1.8,1.2,1.5,5.0,16.13%,4.0,12.90%,4.0,12.90%,5.0,16.13%,4.0,12.90%,7.0,22.58%,2.0,6.45%,,,17,4,10,11,3,18,1,20,1,20,5,3,2,3,4,4,1,3,4,0.33,0.69,0.38,0.41,0.62,0.56,0.498,206.0,Heracles,True,,-1.5,-2.5,Double chance : Heracles or draw,0.45,0.45,0.1,,,,,,,,,
199543,2015,88,88,2016-02-14T13:30:00+00:00,Regular Season - 23,"Serdar Gozubuyuk, Netherlands",193,PEC Zwolle,1,209,Feyenoord,1,1,3,1,6,9,16.0,1,10.0,6.0,0,4,1,44.0,3,0,3,388.0,272.0,70.0,0.27,0.44,0.44,1.4,1.8,20,15,35,1.8,1.4,1.6,6.0,16.67%,4.0,11.11%,8.0,22.22%,7.0,19.44%,6.0,16.67%,3.0,8.33%,2.0,5.56%,,,17,5,10,12,4,18,2,20,2,20,20,14,34,1.8,1.3,1.5,5.0,15.15%,4.0,12.12%,4.0,12.12%,6.0,18.18%,4.0,12.12%,8.0,24.24%,2.0,6.06%,,,18,4,11,11,3,19,1,21,1,21,5,3,2,3,4,5,1,3,4,1.0,0.64,0.57,0.44,0.4,0.38,0.486,193.0,PEC Zwolle,True,,-2.5,-2.5,Double chance : PEC Zwolle or draw,0.35,0.35,0.3,,,,,,,,,
199546,2015,88,88,2016-02-19T19:00:00+00:00,Regular Season - 24,"Jeroen Manschot, Netherlands",193,PEC Zwolle,0,198,ADO Den Haag,0,1,0,2,6,2,9.0,1,7.0,2.0,0,2,0,40.0,1,0,3,322.0,209.0,65.0,0.27,0.26,0.58,1.0,1.6,23,15,38,1.9,1.4,1.7,7.0,17.95%,4.0,10.26%,8.0,20.51%,8.0,20.51%,6.0,15.38%,3.0,7.69%,3.0,7.69%,,,18,5,11,12,5,18,2,21,2,21,21,14,35,1.8,1.3,1.5,5.0,14.71%,4.0,11.76%,5.0,14.71%,6.0,17.65%,4.0,11.76%,8.0,23.53%,2.0,5.88%,,,19,4,11,12,3,20,1,22,1,22,6,3,2,3,4,5,1,3,4,0.29,0.31,0.5,0.57,0.71,0.67,0.508,198.0,ADO Den Haag,True,,-2.5,-2.5,Double chance : ADO Den Haag or draw,0.35,0.35,0.3,,,,,,,,,
199557,2015,88,88,2016-02-27T18:45:00+00:00,Regular Season - 25,"Siemen Mulder, Netherlands",193,PEC Zwolle,0,420,Cambuur,0,0,1,0,1,5,9.0,3,5.0,4.0,0,6,0,34.0,5,1,2,266.0,184.0,69.0,0.47,0.58,0.42,1.4,1.4,23,17,40,1.9,1.4,1.7,7.0,17.07%,4.0,9.76%,9.0,21.95%,8.0,19.51%,6.0,14.63%,3.0,7.32%,4.0,9.76%,,,19,5,12,12,5,19,2,22,2,22,21,14,35,1.8,1.2,1.5,5.0,14.71%,4.0,11.76%,5.0,14.71%,6.0,17.65%,4.0,11.76%,8.0,23.53%,2.0,5.88%,,,19,5,11,13,3,21,1,23,1,23,6,4,2,3,4,5,1,4,5,1.0,0.88,0.61,0.81,0.5,0.6,0.68,193.0,PEC Zwolle,True,,-1.5,-2.5,Double chance : draw or PEC Zwolle,0.1,0.45,0.45,,,,,,,,,
199565,2015,88,88,2016-03-05T17:30:00+00:00,Regular Season - 26,"Edwin Van de Graaf, Netherlands",193,PEC Zwolle,1,199,De Graafschap,2,0,2,1,7,3,12.0,2,7.0,5.0,0,5,3,50.0,0,0,1,432.0,327.0,76.0,0.4,0.35,0.59,1.2,1.4,23,17,40,1.9,1.3,1.6,7.0,17.07%,4.0,9.76%,9.0,21.95%,8.0,19.51%,6.0,14.63%,3.0,7.32%,4.0,9.76%,,,19,6,12,13,5,20,2,23,2,23,21,15,36,1.8,1.2,1.4,5.0,14.29%,4.0,11.43%,5.0,14.29%,6.0,17.14%,4.0,11.43%,9.0,25.71%,2.0,5.71%,,,20,5,11,14,3,22,1,24,1,24,6,4,2,3,4,6,1,4,5,0.67,0.55,0.53,0.68,1.0,1.0,0.608,193.0,PEC Zwolle,True,,-2.5,-2.5,Double chance : PEC Zwolle or draw,0.45,0.45,0.1,,,,,,,,,
